job_id,job_title,company,location,experience_level,job_description,date_posted
4028,NLP Engineer,Northstar Tech,Chennai,Mid,"Exciting opportunity for a NLP Engineer at Northstar Tech, Chennai. Must have strong knowledge of Power BI dashboards, Excel, Python, Amazon Web Services, advanced SQL and a passion for solving business problems.",2026-04-17
3821,Data Science Manager,Alpha Analytics,Bengaluru,Entry,"Exciting opportunity for a Data Science Manager at Alpha Analytics, Bengaluru. Must have strong knowledge of Natural Language Processing, Power BI dashboards, python programming, deep neural networks and a passion for solving business problems.",2026-04-29
3334,BI Developer,Clarity Systems,London,Lead,"Clarity Systems is hiring a BI Developer (Lead level) based in London. Required skills: Advanced Excel, Large Language Models. Prior experience with analytics platforms is a plus.",2026-03-18
4492,Data Science Manager,Alpha Analytics,chennai,Mid,"Data Science Manager role open at Alpha Analytics. Key requirements include T-SQL, proficiency in Python, Excel, Power BI, Tableau dashboards. This is a Mid level position, Chennai based.",2026-06-25
2410,Business Intelligence Analyst,Northstar Tech,Remote,LEAD,"We are looking for a Business Intelligence Analyst to join our team in Remote. The ideal candidate has hands-on experience with Python, deep neural networks, Machine Learning. You will work closely with cross-functional teams to deliver insights.",2026-05-07
214,Machine Learning Engineer,Northstar Tech,London,Lead,"Machine Learning Engineer role open at Northstar Tech. Key requirements include NLP, Power BI dashboards. This is a Lead level position, London based.",2026-05-06
471,AI Engineer,BrightPath AI,HYDERABAD,Senior,"AI Engineer role open at BrightPath AI. Key requirements include AWS, advanced SQL, Power BI. This is a Senior level position, Hyderabad based.",2026-04-02
460,Data Science Manager,Clarity Systems,Bengaluru,entry,"Exciting opportunity for a Data Science Manager at Clarity Systems, Bengaluru. Must have strong knowledge of Python, SQL queries, Power BI, Deep Learning and a passion for solving business problems.",2026-04-13
1962,Business Intelligence Analyst,DataForge,Pune,senior,"DataForge is hiring a Business Intelligence Analyst (Senior level) based in Pune. Required skills: Tableau dashboards, Deep Learning. Prior experience with analytics platforms is a plus.",2026-03-04
4503,BI Developer,Clarity Systems,Chennai,lead,"Exciting opportunity for a BI Developer at Clarity Systems, Chennai. Must have strong knowledge of AWS, proficiency in Python, machine-learning and a passion for solving business problems.",2026-05-03
597,BI Developer,BluePeak Consulting,Mumbai,Lead,"Exciting opportunity for a BI Developer at BluePeak Consulting, Mumbai. Must have strong knowledge of machine-learning, MS Excel, PowerBI and a passion for solving business problems.",2026-05-20
2844,BI Developer,Northstar Tech,Chennai,Entry,"BI Developer role open at Northstar Tech. Key requirements include Tableau dashboards, SQL queries, machine-learning, Python, AWS. This is a Entry level position, Chennai based.",2026-02-22
162,Power BI Developer,DataForge,New York,Mid,"We are looking for a Power BI Developer to join our team in New York. The ideal candidate has hands-on experience with Machine Learning, proficiency in Python, Amazon Web Services. You will work closely with cross-functional teams to deliver insights.",2026-03-17
4098,Data Scientist,Skyline Solutions,Singapore,LEAD,"We are looking for a Data Scientist to join our team in Singapore. The ideal candidate has hands-on experience with machine-learning, python programming, Power BI dashboards. You will work closely with cross-functional teams to deliver insights.",2026-02-27
2756,Analytics Consultant,Vertex Insights,mumbai,MID,"Exciting opportunity for a Analytics Consultant at Vertex Insights, Mumbai. Must have strong knowledge of Power BI, SQL queries, proficiency in Python and a passion for solving business problems.",2026-01-18
2291,AI Research Engineer,Quantify Labs,Bengaluru,Entry,"Exciting opportunity for a AI Research Engineer at Quantify Labs, Bengaluru. Must have strong knowledge of Power BI, proficiency in Python, Excel, Large Language Models and a passion for solving business problems.",2026-06-01
4069,Analytics Consultant,Clarity Systems,Delhi NCR,Mid,"Exciting opportunity for a Analytics Consultant at Clarity Systems, Delhi NCR. Must have strong knowledge of Python, Deep Learning, Amazon Web Services, MS Excel, machine-learning, advanced SQL and a passion for solving business problems.",2026-07-18
2143,Data Engineer,Nimbus Data,Bengaluru,LEAD,"Nimbus Data is hiring a Data Engineer (Lead level) based in Bengaluru. Required skills: advanced SQL, python programming, NLP, MS Excel. Prior experience with analytics platforms is a plus.",2026-05-11
4793,Business Intelligence Analyst,Alpha Analytics,Mumbai,Mid,"Exciting opportunity for a Business Intelligence Analyst at Alpha Analytics, Mumbai. Must have strong knowledge of Deep Learning, Natural Language Processing, ML models, proficiency in Python, Tableau and a passion for solving business problems.",2026-06-18
319,Data Analyst,DataForge,MUMBAI,mid,"Exciting opportunity for a Data Analyst at DataForge, Mumbai. Must have strong knowledge of T-SQL, machine-learning, deep neural networks, PowerBI, Python, Advanced Excel and a passion for solving business problems.",2026-02-14
963,Data Scientist,DataForge,New York,MID,"We are looking for a Data Scientist to join our team in New York. The ideal candidate has hands-on experience with PowerBI, proficiency in Python, deep neural networks. You will work closely with cross-functional teams to deliver insights.",2026-04-02
3312,Power BI Developer,Clarity Systems,NEW YORK,senior,"Join Clarity Systems as a Power BI Developer! We need someone comfortable with Natural Language Processing, Amazon Web Services, Power BI dashboards, Excel, proficiency in Python, deep neural networks to help us build data-driven products.",2026-01-16
4495,Data Analyst,DataForge,Chennai,LEAD,"Data Analyst role open at DataForge. Key requirements include NLP, Generative AI, deep neural networks, SQL queries, Amazon Web Services, proficiency in Python. This is a Lead level position, Chennai based.",2026-03-10
4765,Data Scientist,Clarity Systems,Singapore,MID,"We are looking for a Data Scientist to join our team in Singapore. The ideal candidate has hands-on experience with Tableau dashboards, PowerBI. You will work closely with cross-functional teams to deliver insights.",2026-04-29
1223,Data Analyst,Northstar Tech,New York,SENIOR,"Northstar Tech is hiring a Data Analyst (Senior level) based in New York. Required skills: Machine Learning, proficiency in Python, AWS, T-SQL, Tableau dashboards. Prior experience with analytics platforms is a plus.",2026-07-11
4689,Data Science Manager,Vertex Insights,Remote,  Lead  ,"We are looking for a Data Science Manager to join our team in Remote. The ideal candidate has hands-on experience with LLMs, Power BI dashboards, ML models, Natural Language Processing. You will work closely with cross-functional teams to deliver insights.",2026-07-19
4082,NLP Engineer,BrightPath AI,SINGAPORE,Senior,"NLP Engineer role open at BrightPath AI. Key requirements include Tableau dashboards, AWS, GenAI, NLP. This is a Senior level position, Singapore based.",2026-01-05
373,Data Scientist,DataForge,Chennai,Mid,"Join DataForge as a Data Scientist! We need someone comfortable with machine-learning, Excel, Tableau, python programming to help us build data-driven products.",2026-02-23
2718,Data Engineer,Nimbus Data,mumbai,SENIOR,"Join Nimbus Data as a Data Engineer! We need someone comfortable with GenAI, proficiency in Python, AWS, MS Excel, Power BI dashboards to help us build data-driven products.",2026-03-31
1105,Power BI Developer,Clarity Systems,Remote,Lead,"Power BI Developer role open at Clarity Systems. Key requirements include ML models, Amazon Web Services. This is a Lead level position, Remote based.",2026-03-21
3074,Analytics Consultant,Alpha Analytics,hyderabad,Mid,"Analytics Consultant role open at Alpha Analytics. Key requirements include advanced SQL, Deep Learning, Machine Learning, PowerBI. This is a Mid level position, Hyderabad based.",2026-06-27
4297,Data Science Manager,Skyline Solutions,Pune,Senior,"Join Skyline Solutions as a Data Science Manager! We need someone comfortable with ML models, proficiency in Python, LLMs, NLP, Tableau dashboards, SQL to help us build data-driven products.",2026-04-20
4951,Data Engineer,Clarity Systems,LONDON,MID,"Data Engineer role open at Clarity Systems. Key requirements include machine-learning, deep neural networks, Excel, python programming. This is a Mid level position, London based.",2026-03-05
4949,Analytics Consultant,DataForge,,Entry,"Exciting opportunity for a Analytics Consultant at DataForge, Hyderabad. Must have strong knowledge of Python, SQL queries, PowerBI, Machine Learning, Deep Learning and a passion for solving business problems.",2026-06-21
1662,AI Research Engineer,Alpha Analytics,New York,Entry,"We are looking for a AI Research Engineer to join our team in New York. The ideal candidate has hands-on experience with Power BI, Python, Tableau dashboards, Large Language Models, Amazon Web Services. You will work closely with cross-functional teams to deliver insights.",2026-07-17
173,AI Research Engineer,DataForge,Hyderabad,Entry,"Exciting opportunity for a AI Research Engineer at DataForge, Hyderabad. Must have strong knowledge of Deep Learning, T-SQL, GenAI and a passion for solving business problems.",2026-01-23
2865,Data Scientist,Skyline Solutions,Singapore,  Senior  ,"Exciting opportunity for a Data Scientist at Skyline Solutions, Singapore. Must have strong knowledge of Advanced Excel, Natural Language Processing, Python, Power BI, SQL and a passion for solving business problems.",2026-03-26
1343,AI Research Engineer,Alpha Analytics,Remote,entry,"We are looking for a AI Research Engineer to join our team in Remote. The ideal candidate has hands-on experience with Power BI, SQL, Excel. You will work closely with cross-functional teams to deliver insights.",2026-03-02
978,Data Scientist,Skyline Solutions,  Singapore  ,Senior,"Skyline Solutions is hiring a Data Scientist (Senior level) based in Singapore. Required skills: deep neural networks, advanced SQL, AWS, Python. Prior experience with analytics platforms is a plus.",2026-02-19
2763,Business Intelligence Analyst,Alpha Analytics,Remote,Mid,"Business Intelligence Analyst role open at Alpha Analytics. Key requirements include SQL, Deep Learning, machine-learning, PowerBI, GenAI, Python. This is a Mid level position, Remote based.",2026-02-10
4300,AI Research Engineer,Clarity Systems,bengaluru,Entry,"Clarity Systems is hiring a AI Research Engineer (Entry level) based in Bengaluru. Required skills: Natural Language Processing, PowerBI, Deep Learning, Python, advanced SQL, ML models. Prior experience with analytics platforms is a plus.",2026-07-05
501,Data Analyst,BrightPath AI,NEW YORK,entry,"Join BrightPath AI as a Data Analyst! We need someone comfortable with proficiency in Python, AWS, ML models, Advanced Excel, Power BI dashboards, Natural Language Processing to help us build data-driven products.",2026-02-10
2055,Business Intelligence Analyst,Skyline Solutions,london,Lead,"Skyline Solutions is hiring a Business Intelligence Analyst (Lead level) based in London. Required skills: proficiency in Python, LLMs, Power BI, Advanced Excel, Natural Language Processing, SQL. Prior experience with analytics platforms is a plus.",2026-01-03
346,Business Intelligence Analyst,,Delhi NCR,entry,"We are looking for a Business Intelligence Analyst to join our team in Delhi NCR. The ideal candidate has hands-on experience with Power BI dashboards, proficiency in Python, Generative AI. You will work closely with cross-functional teams to deliver insights.",2026-06-21
1715,Analytics Consultant,Skyline Solutions,Singapore,Senior,"Analytics Consultant role open at Skyline Solutions. Key requirements include SQL, Python, GenAI, Amazon Web Services, Excel. This is a Senior level position, Singapore based.",2026-03-17
2609,AI Research Engineer,BluePeak Consulting,Chennai,Lead,"BluePeak Consulting is hiring a AI Research Engineer (Lead level) based in Chennai. Required skills: ML models, Excel. Prior experience with analytics platforms is a plus.",2026-03-29
3112,AI Research Engineer,Quantify Labs,NEW YORK,LEAD,"Quantify Labs is hiring a AI Research Engineer (Lead level) based in New York. Required skills: T-SQL, Advanced Excel, Power BI. Prior experience with analytics platforms is a plus.",2026-06-09
4630,Data Scientist,BrightPath AI,New York,Mid,"Join BrightPath AI as a Data Scientist! We need someone comfortable with NLP, AWS, python programming to help us build data-driven products.",2026-01-02
